site,project_name,id,project_id,plot,latitude,longitude,treatment,profile,min_org,horizon,raw_depth,adjusted_depth,sample_depth,fine_coarse,fine_bulk_density,fine_carbon,fine_nitrogen,dry_matter,carbon
AK_Rogers_C005,AK_Rogers,ps.3650,BR_AK1.ps.85,AK_Rogers_C005,64.324763,-145.892955,Control,A,org,fibric,14.87035,14.87035,7.3992,1,0.027468,35.786524,,2032.412256,727.3296998
AK_Rogers_C005,AK_Rogers,ps.3651,BR_AK1.ps.86,AK_Rogers_C005,64.324763,-145.892955,Control,A,org,mesic,27.50005,27.50005,12.6297,1,0.0508005,40.655718,,6415.950749,2608.450843
AK_Rogers_C005,AK_Rogers,ps.3652,BR_AK1.ps.87,AK_Rogers_C005,64.324763,-145.892955,Control,A,org,humic,44.00005,44.00005,16.5,1,0.431112,8.8858203,,71133.48,6320.793206
AK_Rogers_C005,AK_Rogers,ps.3649,BR_AK1.ps.84,AK_Rogers_C005,64.324763,-145.892955,Control,A,org,moss,7.47115,7.47115,7.47115,1,0.0174563,39.068007,,1304.186357,509.5196174
AK_Rogers_C005,AK_Rogers,ps.3654,BR_AK1.ps.89,AK_Rogers_C005,64.324763,-145.892955,Control,B,org,fibric,20.9112,20.9112,12.9467,1,0.0161901,38.822752,,2096.083677,813.7573675
AK_Rogers_C005,AK_Rogers,ps.3655,BR_AK1.ps.90,AK_Rogers_C005,64.324763,-145.892955,Control,B,org,mesic,34.0,34.0,13.0888,1,0.0340014,35.034344,,4450.375243,1559.159772
AK_Rogers_C005,AK_Rogers,ps.3656,BR_AK1.ps.91,AK_Rogers_C005,64.324763,-145.892955,Control,B,org,humic,50.0,50.0,16.0,1,0.435051,12.317105,,69608.16,8573.710156
AK_Rogers_C005,AK_Rogers,ps.3653,BR_AK1.ps.88,AK_Rogers_C005,64.324763,-145.892955,Control,B,org,moss,7.9645,7.9645,7.9645,1,0.00617532,37.826387,,491.8333614,186.0427907
AK_Rogers_C005,AK_Rogers,ps.3662,BR_AK1.ps.97,AK_Rogers_C005,64.324763,-145.892955,Control,D,org,fibric,18.10569,18.10569,14.4453,1,0.0204288,32.860494,,2951.001446,969.7136532
AK_Rogers_C005,AK_Rogers,ps.3663,BR_AK1.ps.98,AK_Rogers_C005,64.324763,-145.892955,Control,D,org,mesic,24.70003,24.70003,6.59434,1,0.0699166,32.47975,,4610.53832,1497.49132
AK_Rogers_C005,AK_Rogers,ps.3664,BR_AK1.ps.99,AK_Rogers_C005,64.324763,-145.892955,Control,D,org,humic,41.20003,41.20003,16.5,1,0.833386,9.3620019,,137508.69,12873.56617
AK_Rogers_C005,AK_Rogers,ps.3665,BR_AK1.ps.100,AK_Rogers_C005,64.324763,-145.892955,Control,E,org,moss,10.5104,10.5104,10.5104,1,0.0115673,35.359475,,1215.769499,429.8897121
AK_Rogers_C005,AK_Rogers,ps.3666,BR_AK1.ps.101,AK_Rogers_C005,64.324763,-145.892955,Control,E,org,fibric,37.7396,37.7396,27.2292,1,0.0339929,40.395349,,9255.994727,3738.991373
AK_Rogers_C005,AK_Rogers,ps.3667,BR_AK1.ps.102,AK_Rogers_C005,64.324763,-145.892955,Control,E,org,humic,57.0396,57.0396,19.3,1,0.413034,11.995396,,79715.562,9562.197336
AK_Rogers_C005,AK_Rogers,ps.3668,BR_AK1.ps.103,AK_Rogers_C005,64.324763,-145.892955,Control,F,org,moss,5.0,5.0,5.0,1,0.0139261,38.179574,,696.305,265.8462827
AK_Rogers_C005,AK_Rogers,ps.3669,BR_AK1.ps.104,AK_Rogers_C005,64.324763,-145.892955,Control,F,org,fibric,21.0,21.0,16.0,1,0.0500468,38.925487,,8007.488,3116.9537
